customer_id,customer_name,city,segment,signup_date
1,Customer 1,Leipzig,Consumer,2025-01-26
2,Customer 2,Leipzig,Small Business,2025-09-08
3,Customer 3,Hamburg,Consumer,2025-04-15
4,Customer 4,Leipzig,Corporate,2025-03-31
5,Customer 5,Frankfurt,Small Business,2025-02-02
6,Customer 6,Berlin,Consumer,2025-08-12
7,Customer 7,Hamburg,Corporate,2025-01-28
8,Customer 8,Frankfurt,Consumer,2026-03-06
9,Customer 9,Hamburg,Small Business,2025-10-12
10,Customer 10,Dresden,Consumer,2025-06-13
11,Customer 11,Leipzig,Small Business,2025-12-15
12,Customer 12,Munich,Consumer,2025-08-09
13,Customer 13,,Small Business,2025-04-15
14,Customer 14,Berlin,Small Business,2025-04-10
15,Customer 15,Munich,Small Business,2025-09-28
16,Customer 16,Dresden,Consumer,2026-04-16
17,Customer 17,Frankfurt,Consumer,2026-01-23
18,Customer 18,Berlin,Corporate,2025-10-28
19,Customer 19,Dresden,Corporate,2026-01-06
20,Customer 20,Frankfurt,Consumer,2025-03-13
21,Customer 21,Berlin,Corporate,2025-08-22
22,Customer 22,Dresden,Small Business,2025-03-23
23,Customer 23,Dresden,Consumer,2025-04-14
24,Customer 24,Cologne,Small Business,2026-04-10
25,Customer 25,Leipzig,Small Business,2025-06-16
26,Customer 26,Munich,Small Business,2025-08-03
27,Customer 27,Leipzig,Small Business,2025-03-15
28,Customer 28,Frankfurt,Corporate,2025-06-25
29,Customer 29,Frankfurt,Corporate,2025-09-08
30,Customer 30,Hamburg,Small Business,2026-01-24
31,Customer 31,Munich,Corporate,2025-08-13
32,Customer 32,Leipzig,Small Business,2025-02-27
33,Customer 33,Hamburg,Consumer,2025-11-20
34,Customer 34,Cologne,Small Business,2025-03-09
35,Customer 35,Hamburg,Corporate,2025-11-19
36,Customer 36,Hamburg,Corporate,2026-05-27
37,Customer 37,Cologne,Corporate,2026-04-15
38,Customer 38,Hamburg,Small Business,2025-05-23
39,Customer 39,Hamburg,Corporate,2025-09-27
40,Customer 40,Leipzig,Corporate,2026-03-15
41,Customer 41,Frankfurt,Small Business,2026-01-06
42,Customer 42,Hamburg,Consumer,2026-06-06
43,Customer 43,Cologne,Consumer,2025-02-18
44,Customer 44,Dresden,Consumer,2025-06-06
45,Customer 45,Leipzig,Consumer,2026-03-09
46,Customer 46,Frankfurt,Consumer,2026-01-30
47,Customer 47,Cologne,Corporate,2026-04-25
48,Customer 48,Frankfurt,Small Business,2025-01-12
49,Customer 49,Leipzig,Corporate,2025-04-28
50,Customer 50,Leipzig,Corporate,2025-10-01
51,Customer 51,Dresden,Corporate,2025-12-15
52,Customer 52,Berlin,Small Business,2026-03-22
53,Customer 53,Hamburg,Small Business,2025-01-04
54,Customer 54,Leipzig,Corporate,2025-09-27
55,Customer 55,Frankfurt,Consumer,2026-06-04
56,Customer 56,Berlin,Corporate,2025-11-02
57,Customer 57,Dresden,Corporate,2026-06-04
58,Customer 58,Frankfurt,Consumer,2025-06-06
59,Customer 59,Munich,Consumer,2026-06-28
60,Customer 60,Berlin,Corporate,2025-11-28
61,Customer 61,Cologne,Consumer,2025-04-25
62,Customer 62,Munich,Small Business,2025-09-03
63,Customer 63,Berlin,Consumer,2025-03-22
64,Customer 64,Berlin,Corporate,2026-05-13
65,Customer 65,Dresden,Consumer,2026-06-30
66,Customer 66,Dresden,Consumer,2025-05-12
67,Customer 67,Leipzig,Small Business,2025-06-19
68,Customer 68,Munich,Corporate,2026-03-10
69,Customer 69,Hamburg,Corporate,2025-07-25
70,Customer 70,Leipzig,Small Business,2026-02-13
71,Customer 71,Leipzig,Corporate,2026-01-18
72,Customer 72,Cologne,Corporate,2026-04-08
73,Customer 73,Berlin,Consumer,2025-08-19
74,Customer 74,Berlin,Small Business,2025-01-22
75,Customer 75,Frankfurt,Corporate,2025-08-24
76,Customer 76,Frankfurt,Consumer,2025-01-08
77,Customer 77,Berlin,Corporate,2025-03-02
78,Customer 78,Hamburg,Consumer,2025-02-02
79,Customer 79,Dresden,Small Business,2025-03-14
80,Customer 80,Frankfurt,Consumer,2025-10-13
81,Customer 81,Leipzig,Small Business,2025-08-08
82,Customer 82,Frankfurt,Consumer,2026-04-30
83,Customer 83,Hamburg,Small Business,2026-02-21
84,Customer 84,Hamburg,Consumer,2025-04-10
85,Customer 85,Leipzig,Small Business,2025-12-29
86,Customer 86,Cologne,Small Business,2026-04-24
87,Customer 87,Dresden,Corporate,2025-02-25
88,Customer 88,Leipzig,Corporate,2025-04-11
89,Customer 89,Berlin,,2025-12-14
90,Customer 90,Dresden,Consumer,2025-09-12
91,Customer 91,Hamburg,Consumer,2026-07-04
92,Customer 92,Cologne,Consumer,2026-03-09
93,Customer 93,Hamburg,Small Business,2026-04-19
94,Customer 94,Hamburg,Consumer,2026-03-30
95,Customer 95,Dresden,Corporate,2025-04-11
96,Customer 96,Berlin,Corporate,2025-01-16
97,Customer 97,Berlin,Consumer,2025-06-20
98,Customer 98,Cologne,Small Business,2026-05-08
99,Customer 99,Hamburg,Small Business,2025-03-02
100,Customer 100,Hamburg,Small Business,2025-01-03
101,Customer 101,Cologne,Small Business,2026-04-11
102,Customer 102,Munich,Small Business,2026-05-14
103,Customer 103,Hamburg,Consumer,2025-10-31
104,Customer 104,Hamburg,Consumer,2025-03-04
105,Customer 105,Leipzig,Small Business,2025-02-28
106,Customer 106,Berlin,Corporate,2026-05-04
107,Customer 107,Frankfurt,Corporate,2025-06-11
108,Customer 108,Berlin,Corporate,2025-03-24
109,Customer 109,Dresden,Consumer,2025-03-12
110,Customer 110,Frankfurt,Consumer,2025-08-29
111,Customer 111,Cologne,Consumer,2025-09-10
