order_id,customer_id,product_id,quantity,order_date,status,last_modified
103001,334,86,3,2026-07-06,refunded,2026-07-06T14:00:00
103002,392,37,2,2026-07-04,completed,2026-07-04T04:00:00
103003,12,72,4,2026-07-03,refunded,2026-07-03T09:00:00
103004,441,2,5,2026-07-05,completed,2026-07-05T10:00:00
103005,306,37,4,2026-07-05,completed,2026-07-05T04:00:00
103006,100,90,3,2026-07-01,completed,2026-07-01T18:00:00
103007,430,9,1,2026-07-24,completed,2026-07-24T12:00:00
103008,292,77,3,2026-07-23,completed,2026-07-23T21:00:00
103009,299,64,1,2026-07-25,completed,2026-07-25T22:00:00
103010,61,19,3,2026-07-08,completed,2026-07-08T14:00:00
103011,,42,5,2026-07-14,completed,2026-07-14T11:00:00
103012,391,17,2,2026-07-13,completed,2026-07-13T09:00:00
103013,455,96,2,2026-07-09,completed,2026-07-09T02:00:00
103014,477,7,4,2026-07-05,completed,2026-07-05T15:00:00
103015,83,62,2,2026-07-12,refunded,2026-07-12T19:00:00
103016,31,22,5,2026-07-16,refunded,2026-07-16T08:00:00
103017,369,93,1,2026-07-02,cancelled,2026-07-02T14:00:00
103018,12,53,2,2026-07-14,completed,2026-07-14T18:00:00
103019,272,84,1,2026-07-05,completed,2026-07-05T09:00:00
103020,488,21,1,2026-07-11,completed,2026-07-11T08:00:00
103021,444,37,1,2026-07-23,completed,2026-07-23T22:00:00
103022,9,79,3,2026-07-02,cancelled,2026-07-02T03:00:00
103023,289,99,4,2026-07-31,completed,2026-07-31T15:00:00
103024,319,9,3,2026-07-14,cancelled,2026-07-14T09:00:00
103025,399,45,3,2026-07-19,completed,2026-07-19T21:00:00
103026,485,32,0,2026-07-14,cancelled,2026-07-14T05:00:00
103027,71,33,4,2026-07-27,cancelled,2026-07-27T03:00:00
103028,23,72,1,2026-07-01,completed,2026-07-01T03:00:00
103029,63,5,2,2026-07-26,completed,2026-07-26T16:00:00
103030,406,53,5,2026-07-26,completed,2026-07-26T23:00:00
103031,205,36,1,2026-07-04,cancelled,2026-07-04T14:00:00
103032,265,6,5,2026-07-06,completed,2026-07-06T13:00:00
103033,416,94,3,2026-07-17,cancelled,2026-07-17T03:00:00
103034,304,4,1,2026-07-04,completed,2026-07-04T04:00:00
103035,238,11,2,2026-07-23,refunded,2026-07-23T01:00:00
103036,232,14,2,2026-07-02,completed,2026-07-02T13:00:00
103037,118,43,1,2026-07-15,completed,2026-07-15T22:00:00
103038,185,68,3,2026-07-27,cancelled,2026-07-27T09:00:00
103039,411,52,2,2026-07-10,completed,2026-07-10T06:00:00
103040,13,3,5,2026-07-23,cancelled,2026-07-23T06:00:00
103041,273,68,3,2026-07-06,cancelled,2026-07-06T11:00:00
103042,220,77,3,2026-07-14,cancelled,2026-07-14T22:00:00
