product_id,product_name,category,unit_price
1,Product 1,Fashion,30.47
2,Product 2,Sports,302.2
3,Product 3,Sports,56.28
4,Product 4,Books,110.31
5,Product 5,Fashion,243.68
6,Product 6,Electronics,178.31
7,Product 7,Books,186.94
9,Product 9,Beauty,423.35
10,Product 10,Books,308.72
11,Product 11,Fashion,280.59
12,Product 12,Books,464.9
13,Product 13,Fashion,137.39
14,Product 14,Home,140.27
15,Product 15,Sports,461.16
16,Product 16,Sports,8.02
17,Product 17,Home,285.33
18,Product 18,Beauty,39.44
19,Product 19,Fashion,318.42
20,Product 20,Electronics,50.42
21,Product 21,Books,111.49
22,Product 22,Beauty,229.55
23,Product 23,Home,188.18
24,Product 24,Fashion,165.57
25,Product 25,Books,300.13
27,Product 27,Books,29.63
28,Product 28,Electronics,139.69
29,Product 29,Fashion,214.89
30,Product 30,Books,223.81
31,Product 31,Sports,111.71
32,Product 32,Books,61.34
33,Product 33,Beauty,59.89
34,Product 34,Fashion,340.85
35,Product 35,Beauty,265.83
36,Product 36,Sports,27.48
37,Product 37,Beauty,492.3
38,Product 38,Electronics,8.81
39,Product 39,Sports,472.94
40,Product 40,Home,383.26
41,Product 41,Sports,167.42
42,Product 42,Electronics,251.21
43,Product 43,Beauty,91.97
44,Product 44,Beauty,268.63
45,Product 45,Home,252.63
46,Product 46,Fashion,404.07
47,Product 47,Electronics,201.55
48,Product 48,Fashion,25.94
49,Product 49,Electronics,232.58
50,Product 50,Electronics,431.74
51,Product 51,Books,217.5
52,Product 52,Beauty,356.2
53,Product 53,Beauty,148.31
54,Product 54,Beauty,15.32
55,Product 55,Sports,90.08
56,Product 56,Books,232.75
57,Product 57,Fashion,460.29
58,Product 58,Electronics,221.17
59,Product 59,Electronics,125.44
60,Product 60,Books,203.22
61,Product 61,Electronics,200.9
62,Product 62,Sports,374.17
63,Product 63,Home,169.87
64,Product 64,Home,42.81
65,Product 65,Fashion,61.44
66,Product 66,Books,100.98
67,Product 67,Sports,178.79
68,Product 68,Fashion,408.44
69,Product 69,Home,55.89
70,Product 70,Sports,102.65
71,Product 71,Books,80.67
72,Product 72,Fashion,42.3
73,Product 73,Fashion,249.59
74,Product 74,Books,381.14
75,Product 75,Beauty,342.16
76,Product 76,Books,323.28
77,Product 77,Books,164.99
78,Product 78,Fashion,161.49
79,Product 79,Beauty,38.8
80,Product 80,Beauty,317.54
81,Product 81,Sports,297.75
82,Product 82,Sports,256.13
83,Product 83,Sports,233.56
84,Product 84,Electronics,33.16
85,Product 85,Sports,42.98
86,Product 86,Electronics,309.43
87,Product 87,Books,195.32
88,Product 88,Books,279.39
89,Product 89,Fashion,448.46
90,Product 90,Beauty,454.98
91,Product 91,Books,327.66
92,Product 92,Sports,304.48
93,Product 93,Books,79.68
94,Product 94,Electronics,228.01
95,Product 95,Sports,491.28
96,Product 96,Electronics,254.75
97,Product 97,Home,24.38
98,Product 98,Fashion,221.69
99,Product 99,Beauty,264.41
100,Product 100,Books,83.58
